category,text
관람객,놀랄정도로 재미없어요 나중에 ocn에서 보세요
관람객,이거 gv80 광고영화 맞재??
관람객,몰입감이 쩔어요 내용은 그냥 다보고나면 엥? 하는데 카메라 무빙이나 연기들이 좋아요
관람객,조연과 주연이 종이 한 장 차이라는 걸 알게 된 영화. 상영시간을 꽉채워내는 연기력이 압도적이고 절절하다.
관람객,조우진 배우 첫 주연에 하드캐리
관람객,말도 안되는 개연성 마지막에 어떻게 그걸로 사냐 그렇게 할 꺼였으면 진작에 하던가 아니면 깔끔하게 죽었으면 몰랐다
관람객,"아 ㅋㅋ 시잇펄 이게 그 해운대 일방통행 길에서 역주행 조온나 하면서 찍은 그 영화였네 ㅋㅋ 무슨 영화고 언제 개봉하나 했더니 이거 였구만? 그리고 센텀 해운대 장산에서 찍은거 같은데, 우동으로 돈가져와 해놓고 돈 ..."
관람객,보고있는데 증말 재미없네요 이천원 관람이라서 다행이다
관람객,진짜 재미없어요 너무뻔하고 돈이아까움
관람객,배우분들 연기는 좋았지만 스토리는...
관람객,진짜.. 노잼.. 나는.. 진짜.. 충격적..
관람객,초중반의 몰입도가 끝에와서는 구멍난 현실성으로인해 반감된다. 배우들의 연기는 최고수준.
관람객,연기 잘하네요 다들.. 근데 스토리 너무 구려요. 재미도 감동도 연민도 못 느낌…….. 연출은 모르는 분야라 평하기 어렵지만 특별해보이는 건 없었네요.
관람객,아무리봐도 g80ppl...인듯한 영화..
관람객,처음부터끝까지 어이가없네
관람객,머 주인공 연기가 다햇음
관람객,
관람객,재미도 없고 감동도 없음
관람객,홍길동도 아니고 리메이크를 리메이크라 말을 못하네
관람객,제네시스와 조우진이 다 했다.
관람객,그저 그랬어요 킬링타임용도 ..굳이
관람객,액션은 약간 부족연기는 최고
관람객,경찰이 용의자 동생이랍시고 갑작스럽게 나타난 사람의 신원조회 하나 해보지 않는 게 말이 안된다.
관람객,몰입감도 좋고 배우들의 연기도 잘함ㅋㅋ 착하게 삽니다ㅋㅋ
관람객,"ㅈㄴ 진부한 영화였음… 배우들 연기만 좋았고 진짜 전형적인 한국 범죄영화… 보너스! 댓글알바 구별법 -> 간만에 재밌게 볼 수 있었던 영화, 연기 진짜 좋았네요, 올 여름에 보기 좋은 영화 이 OO의 늬앙스 뿐..."
관람객,솔직히 재밌는지 잘 모르겠음… 답답한 상황들 밖에 없어서ㅠㅠ 배우들 연기만 좋았음!
관람객,어디선가 다 본듯한 클리셰.. ㅜㅜ 별로에요
관람객,조우진님은 진짜 열심히 하셨음
